latitude;longitude;altitude;wenner
6.173629;1.216245;17,76;28,8
6.173629;1.216245;17,76;25,9
6.173581;1.216139;15,89;16,8
6.173581;1.216139;15,89;18,9
6.173581;1.216139;15,89;20,1
6.173581;1.216139;15,89;33,3
6.173581;1.216139;15,89;24,5
6.182783;1.208837;24,16;39,5
6.182783;1.208837;24,16;20,1
6.182783;1.208837;24,16;31,2
6.182783;1.208837;24,16;38,7
6.182783;1.208837;24,16;33
6.182613;1.208053;23,86;52,5
6.182613;1.208053;23,86;6,32
6.182613;1.208053;23,86;14,5
6.182613;1.208053;23,86;37,1
6.182613;1.208053;23,86;13,7
6.182708;1.208427;34,54;46,5
6.182708;1.208427;34,54;86
6.182708;1.208427;34,54;33,5
6.182708;1.208427;34,54;45,9
6.182708;1.208427;34,54;35,7
6.183463;1.208623;44,97;18,9
6.183463;1.208623;44,97;46,1
6.183463;1.208623;44,97;33,9
6.183463;1.208623;44,97;31,1
6.183463;1.208623;44,97;11,8
6.18278;1.207701;33,58;44,7
6.18278;1.207701;33,58;35,1
6.18278;1.207701;33,58;36,7
6.18278;1.207701;33,58;37,9
6.18278;1.207701;33,58;42,3
6.183421;1.207586;41,81;51,4
6.183421;1.207586;41,81;28,6
6.183421;1.207586;41,81;49,5
6.183421;1.207586;41,81;45,8
6.183421;1.207586;41,81;25,9
6.18528;1.20806;45,79;50,7
6.18528;1.20806;45,79;63,9
6.18528;1.20806;45,79;48,1
6.18528;1.20806;45,79;49,5
6.18528;1.20806;45,79;54,3
6.186054;1.207928;40,24;13,9
6.186054;1.207928;40,24;32,3
6.186054;1.207928;40,24;48,3
6.186054;1.207928;40,24;33,2
6.186054;1.207928;40,24;14,2
6.185244;1.211445;49,19;44,2
6.185244;1.211445;49,19;49
6.185244;1.211445;49,19;45,8
6.185244;1.211445;49,19;46,5
6.185244;1.211445;49,19;44,5
6.184518;1.2117;20,31;14,5
6.184518;1.2117;20,31;52,7
6.184518;1.2117;20,31;7,61
6.184518;1.2117;20,31;10,8
6.184518;1.2117;20,31;22,2
6.184034;1.212742;28,36;29,5
6.184034;1.212742;28,36;29,3
6.184034;1.212742;28,36;29,6
6.184034;1.212742;28,36;27,4
6.184034;1.212742;28,36;28,7
6.183407;1.213098;20,38;32,9
6.183407;1.213098;20,38;31,5
6.183407;1.213098;20,38;28,2
6.183407;1.213098;20,38;25,3
6.183407;1.213098;20,38;28,9
6.183138;1.213156;16,63;60,9
6.183138;1.213156;16,63;29,9
6.183138;1.213156;16,63;47,2
6.183138;1.213156;16,63;33,3
6.183138;1.213156;16,63;27,3
6.182563;1.213458;21,23;47,6
6.182563;1.213458;21,23;20,2
6.182563;1.213458;21,23;33,4
6.182563;1.213458;21,23;12,5
6.182563;1.213458;21,23;15,3
6.181928;1.209292;27,98;41
6.181928;1.209292;27,98;26,6
6.181928;1.209292;27,98;23,1
6.181928;1.209292;27,98;29,1
6.181928;1.209292;27,98;27,3
6.181094;1.209312;17,21;15,3
6.181094;1.209312;17,21;26,4
6.181094;1.209312;17,21;7,84
6.181094;1.209312;17,21;11,6
6.181094;1.209312;17,21;11,4
6.181917;1.208936;33,98;24,5
6.181917;1.208936;33,98;31,5
6.181917;1.208936;33,98;17,6
6.181917;1.208936;33,98;29,4
6.181917;1.208936;33,98;29,8
6.181173;1.209002;15,99;22,4
6.181173;1.209002;15,99;20,3
6.181173;1.209002;15,99;26,9
6.181173;1.209002;15,99;9,75
6.181173;1.209002;15,99;19
6.180838;1.209459;15,91;28,6
6.180838;1.209459;15,91;30
6.180838;1.209459;15,91;45
6.180838;1.209459;15,91;34,6
6.180838;1.209459;15,91;47,1
6.180737;1.209332;16,03;22,4
6.180737;1.209332;16,03;33,5
6.180737;1.209332;16,03;28,8
6.180737;1.209332;16,03;20,9
6.180737;1.209332;16,03;31,2
6.180885;1.209164;29,7;29,3
6.180885;1.209164;29,7;30,3
6.180885;1.209164;29,7;33,5
6.180885;1.209164;29,7;28,7
6.180885;1.209164;29,7;31,3
6.180624;1.209515;26,97;21,4
6.180624;1.209515;26,97;14,3
6.180624;1.209515;26,97;16,8
6.180624;1.209515;26,97;30,4
6.180624;1.209515;26,97;20,1
6.180135;1.209096;18,93;30,2
6.180135;1.209096;18,93;17
6.180135;1.209096;18,93;20,2
6.180135;1.209096;18,93;20,2
6.180135;1.209096;18,93;25,3
6.179554;1.209579;36,4;30,7
6.179554;1.209579;36,4;30,9
6.179554;1.209579;36,4;31,2
6.179554;1.209579;36,4;40,9
6.179554;1.209579;36,4;20,5
6.179605;1.209329;31,04;29,7
6.179605;1.209329;31,04;39,7
6.179605;1.209329;31,04;35
6.179605;1.209329;31,04;25,8
6.179605;1.209329;31,04;30,2
6.178811;1.209575;31,34;28
6.178811;1.209575;31,34;18,9
6.178811;1.209575;31,34;25,3
6.178811;1.209575;31,34;28,5
6.178811;1.209575;31,34;25,6
6.178797;1.209355;22,99;25,6
6.178797;1.209355;22,99;15,5
6.178797;1.209355;22,99;18,1
6.178797;1.209355;22,99;10,7
6.178797;1.209355;22,99;8,8
6.178516;1.209783;29,51;30,2
6.178516;1.209783;29,51;70
6.178516;1.209783;29,51;25,6
6.178516;1.209783;29,51;30,9
6.178516;1.209783;29,51;31,2
6.177608;1.210378;29,26;8,7
6.177608;1.210378;29,26;47,6
6.177608;1.210378;29,26;20,2
6.177608;1.210378;29,26;15,6
6.177608;1.210378;29,26;30,2
6.178531;1.210327;34,25;45,5
6.178531;1.210327;34,25;33,8
6.178531;1.210327;34,25;61
6.178531;1.210327;34,25;30,3
6.178531;1.210327;34,25;45,5
6.177926;1.210675;20,21;20,2
6.177926;1.210675;20,21;15,3
6.177926;1.210675;20,21;30
6.177926;1.210675;20,21;24,6
6.177926;1.210675;20,21;31,3
